Time,SetPoint,KP,KI,KD,Timer,FeedBack,Output
1693919209.321994,70.0,0.1,0.02,0.01,10,90.921875,-2.531546875
1693919219.3372726,70.0,0.1,0.02,0.01,10,90.921875,-2.9290625
1693919229.35585,70.0,0.1,0.02,0.01,10,90.921875,-3.3475
1693919239.3775835,70.0,0.1,0.02,0.01,10,90.921875,-2.531546875
1693919249.401129,70.0,0.1,0.02,0.01,10,90.921875,-2.9290625
1693919259.42572,70.0,0.1,0.02,0.01,10,71.99609375,-0.24152734375
1693919269.4664724,70.0,0.1,0.02,0.01,10,81.8046875,-0.279453125
1693919279.5167203,70.0,0.1,0.02,0.01,10,84.15625,-1.50621484375
1693919289.5524435,70.0,0.1,0.02,0.01,10,86.125,-2.0170390625
1693919299.5785995,70.0,0.1,0.02,0.01,10,84.83203125,-2.53603125
1693919309.622399,70.0,0.1,0.02,0.01,10,83.76171875,-2.70011328125
1693919319.6626086,70.0,0.1,0.02,0.01,10,81.0859375,-2.8685390625
1693919329.7934904,70.0,0.1,0.02,0.01,10,80.5703125,-2.82107421875
1693919339.8461494,70.0,0.1,0.02,0.01,10,80.6640625,-2.983078125
1693919349.9059913,70.0,0.1,0.02,0.01,10,87.71484375,-3.2063437500000003
1693919359.9354484,70.0,0.1,0.02,0.01,10,88.734375,-4.27267578125
1693919369.9707766,90.0,0.1,0.02,0.01,10,84.99609375,-2.32328515625
1693919380.0118322,90.0,0.1,0.02,0.01,10,80.015625,-1.8646210937499998
1693919390.048435,90.0,0.1,0.02,0.01,10,74.95703125,-1.16564453125
1693919400.1087558,90.0,0.1,0.02,0.01,10,67.63671875,-0.35884765624999987
1693919410.1800745,90.0,0.1,0.02,0.01,10,56.8203125,0.8227109375
1693919420.2434163,80.0,0.1,0.02,0.01,10,50.92578125,1.3614414062499998
1693919430.2776265,80.0,0.1,0.02,0.01,10,66.6640625,2.53745703125
1693919440.3253732,80.0,0.1,0.02,0.01,10,82.61328125,1.2087148437500002
1693919450.3654926,80.0,0.1,0.02,0.01,10,84.87890625,-0.43868359375
1693919460.3984075,80.0,0.1,0.02,0.01,10,86.0234375,-0.749140625
1693919470.4321573,80.0,0.1,0.02,0.01,10,87.2265625,-0.9829414062500001
1693919480.4867356,80.0,0.1,0.02,0.01,10,85.24609375,-1.24784375
1693919490.5267153,80.0,0.1,0.02,0.01,10,83.7421875,-1.15153515625
1693919500.5552065,80.0,0.1,0.02,0.01,10,83.26171875,-1.0764648437500002
1693919510.589884,80.0,0.1,0.02,0.01,10,83.75390625,-1.09467578125
1693919520.624839,80.0,0.1,0.02,0.01,10,82.83984375,-1.2199453125
1693919530.688747,80.0,0.1,0.02,0.01,10,82.07421875,-1.1839296875
